32 4679.61279194373775961196 
48 4679.61316547491683596896 
64 4679.61353900609591232596 
96 4679.61428606845406503995 
128 4679.61503313081221775395 
192 4679.61652725552852318194 
256 4679.61802138024482860993 
384 4679.62100962967743946592 
512 4679.62399787911005032190 
768 4679.62997437797527203387 
1024 4679.63595087684049374583 
1536 4679.64790387457093716977 
2048 4679.65985687230138059370 
3072 4679.68376286776226744157 
4096 4679.70766886322315428944 
6144 4679.75548085414492798517 
8192 4679.80329284506670168091 
12288 4679.89891682691024907238 
16384 4679.99454080875379646385 
24576 4680.18578877244089124679 
32768 4680.37703673612798602973 
49152 4680.75953266350217559561 
65536 4681.14202859087636516150 
98304 4681.90702044562474429326 
131072 4682.67201230037312342503 
196608 4684.20199600986988168856 
262144 4685.73197971936663995209 
393216 4688.79194713836015647915 
