32 112207.71706171014846102120 
48 112207.71707539478795960767 
64 112207.71708907942745819413 
96 112207.71711644870645536706 
192 112207.71719855654344688584 
256 112207.71725329510144123169 
384 112207.71736277221742992340 
512 112207.71747224933341861511 
768 112207.71769120356539599853 
1024 112207.71791015779737338195 
1536 112207.71834806626132814879 
2048 112207.71878597472528291563 
3072 112207.71966179165319244930 
4096 112207.72053760858110198298 
6144 112207.72228924243692105033 
8192 112207.72404087629274011769 
12288 112207.72754414400437825239 
16384 112207.73104741171601638710 
24576 112207.73805394713929265651 
