32 290.92 224.088
32 300.461 233.203
32 303.309 197.667
48 410.272 345.466
64 581.842 483.197
96 849.588 668.303
128 1158.41 930.43
192 1669.62 1373.99
256 2023.8 1702.05
384 3200.11 2837.46
512 4249.12 3434.46
768 6400.24 4742.73
1024 8291.8 6766.68
1536 11725.6 8622.91
2048 14423 12072.9
3072 19260.9 12088.1
4096 24237.5 19927.8
6144 30118.7 22230.7
8192 35464.5 26378.7
12288 41029.9 30735.5
16384 44463 37763.9
24576 50465.9 44895.2
32768 53153.6 48949.8
49152 54676.1 49289.6
65536 52409.7 47400.4
98304 54966.4 48873.4
131072 55062.6 49917.8
196608 56231.9 51917.9
262144 56829.2 53527
393216 57172 53272.5
524288 42455.5 29278.3
