32 290.9200004091 
48 434.9031280735 
64 577.9149578526 
96 861.0637748526 
128 1140.4432511424 
192 1688.1912991696 
256 2221.7340675186 
384 3248.3582854325 
512 4224.3593417479 
768 6038.7656105118 
1024 7690.2968402836 
1536 10585.2334513075 
2048 13039.5359826110 
3072 16975.4895205943 
4096 19992.8936879903 
6144 24314.8790706731 
8192 27261.5237370185 
12288 31020.8433807849 
16384 33318.0991422501 
24576 35982.8148483337 
32768 37481.6697757293 
49152 39110.8209973165 
65536 39979.6850760639 
98304 40888.0306449404 
131072 41357.8596162330 
196608 41838.6113517820 
262144 42083.2029851536 
393216 42330.6712372083 
524288 42455.5000005864 
